Polymer Concentration,Pore Size,Resistance,Rejection
0,29.6,84.54,86
0.01001001,29.60800801,84.48036036,85.9982983
0.02002002,29.61601602,84.42072072,85.9965966
0.03003003,29.62402402,84.36108108,85.99489489
0.04004004,29.63203203,84.30144144,85.99319319
0.05005005,29.64004004,84.2418018,85.99149149
0.06006006,29.64804805,84.18216216,85.98978979
0.07007007,29.65605606,84.12252252,85.98808809
0.08008008,29.66406406,84.06288288,85.98638639
0.09009009,29.67207207,84.00324324,85.98468468
0.1001001,29.68008008,83.9436036,85.98298298
0.11011011,29.68808809,83.88396396,85.98128128
0.12012012,29.6960961,83.82432432,85.97957958
0.13013013,29.7041041,83.76468468,85.97787788
0.14014014,29.71211211,83.70504505,85.97617618
0.15015015,29.72012012,83.64540541,85.97447447
0.16016016,29.72812813,83.58576577,85.97277277
0.17017017,29.73613614,83.52612613,85.97107107
0.18018018,29.74414414,83.46648649,85.96936937
0.19019019,29.75215215,83.40684685,85.96766767
0.2002002,29.76016016,83.34720721,85.96596597
0.21021021,29.76816817,83.28756757,85.96426426
0.22022022,29.77617618,83.22792793,85.96256256
0.23023023,29.78418418,83.16828829,85.96086086
0.24024024,29.79219219,83.10864865,85.95915916
0.25025025,29.8002002,83.04900901,85.95745746
0.26026026,29.80820821,82.98936937,85.95575576
0.27027027,29.81621622,82.92972973,85.95405405
0.28028028,29.82422422,82.87009009,85.95235235
0.29029029,29.83223223,82.81045045,85.95065065
0.3003003,29.84024024,82.75081081,85.94894895
0.31031031,29.84824825,82.69117117,85.94724725
0.32032032,29.85625626,82.63153153,85.94554555
0.33033033,29.86426426,82.57189189,85.94384384
0.34034034,29.87227227,82.51225225,85.94214214
0.35035035,29.88028028,82.45261261,85.94044044
0.36036036,29.88828829,82.39297297,85.93873874
0.37037037,29.8962963,82.33333333,85.93703704
0.38038038,29.9043043,82.27369369,85.93533534
0.39039039,29.91231231,82.21405405,85.93363363
0.4004004,29.92032032,82.15441441,85.93193193
0.41041041,29.92832833,82.09477477,85.93023023
0.42042042,29.93633634,82.03513514,85.92852853
0.43043043,29.94434434,81.9754955,85.92682683
0.44044044,29.95235235,81.91585586,85.92512513
0.45045045,29.96036036,81.85621622,85.92342342
0.46046046,29.96836837,81.79657658,85.92172172
0.47047047,29.97637638,81.73693694,85.92002002
0.48048048,29.98438438,81.6772973,85.91831832
0.49049049,29.99239239,81.61765766,85.91661662
0.500500501,30.0004004,81.55801802,85.91491491
0.510510511,30.00840841,81.49837838,85.91321321
0.520520521,30.01641642,81.43873874,85.91151151
0.530530531,30.02442442,81.3790991,85.90980981
0.540540541,30.03243243,81.31945946,85.90810811
0.550550551,30.04044044,81.25981982,85.90640641
0.560560561,30.04844845,81.20018018,85.9047047
0.570570571,30.05645646,81.14054054,85.903003
0.580580581,30.06446446,81.0809009,85.9013013
0.590590591,30.07247247,81.02126126,85.8995996
0.600600601,30.08048048,80.96162162,85.8978979
0.610610611,30.08848849,80.90198198,85.8961962
0.620620621,30.0964965,80.84234234,85.89449449
0.630630631,30.1045045,80.7827027,85.89279279
0.640640641,30.11251251,80.72306306,85.89109109
0.650650651,30.12052052,80.66342342,85.88938939
0.660660661,30.12852853,80.60378378,85.88768769
0.670670671,30.13653654,80.54414414,85.88598599
0.680680681,30.14454454,80.4845045,85.88428428
0.690690691,30.15255255,80.42486486,85.88258258
0.700700701,30.16056056,80.36522523,85.88088088
0.710710711,30.16856857,80.30558559,85.87917918
0.720720721,30.17657658,80.24594595,85.87747748
0.730730731,30.18458458,80.18630631,85.87577578
0.740740741,30.19259259,80.12666667,85.87407407
0.750750751,30.2006006,80.06702703,85.87237237
0.760760761,30.20860861,80.00738739,85.87067067
0.770770771,30.21661662,79.94774775,85.86896897
0.780780781,30.22462462,79.88810811,85.86726727
0.790790791,30.23263263,79.82846847,85.86556557
0.800800801,30.24064064,79.76882883,85.86386386
0.810810811,30.24864865,79.70918919,85.86216216
0.820820821,30.25665666,79.64954955,85.86046046
0.830830831,30.26466466,79.58990991,85.85875876
0.840840841,30.27267267,79.53027027,85.85705706
0.850850851,30.28068068,79.47063063,85.85535536
0.860860861,30.28868869,79.41099099,85.85365365
0.870870871,30.2966967,79.35135135,85.85195195
0.880880881,30.3047047,79.29171171,85.85025025
0.890890891,30.31271271,79.23207207,85.84854855
0.900900901,30.32072072,79.17243243,85.84684685
0.910910911,30.32872873,79.11279279,85.84514515
0.920920921,30.33673674,79.05315315,85.84344344
0.930930931,30.34474474,78.99351351,85.84174174
0.940940941,30.35275275,78.93387387,85.84004004
0.950950951,30.36076076,78.87423423,85.83833834
0.960960961,30.36876877,78.81459459,85.83663664
0.970970971,30.37677678,78.75495495,85.83493493
0.980980981,30.38478478,78.69531532,85.83323323
0.990990991,30.39279279,78.63567568,85.83153153
1.001001001,30.4008008,78.57603604,85.82982983
1.011011011,30.40880881,78.5163964,85.82812813
