X (Polymer Concentration),Y (Pore Size),Z (Resistance),M (Rejection)
0,26,21.6483,94.5104
0.01001001,26.00900901,21.63604454,94.50892262
0.02002002,26.01801802,21.62378909,94.50744525
0.03003003,26.02702703,21.61153363,94.50596787
0.04004004,26.03603604,21.59927818,94.50449049
0.05005005,26.04504505,21.58702272,94.50301311
0.06006006,26.05405405,21.57476727,94.50153574
0.07007007,26.06306306,21.56251181,94.50005836
0.08008008,26.07207207,21.55025636,94.49858098
0.09009009,26.08108108,21.5380009,94.4971036
0.1001001,26.09009009,21.52574545,94.49562623
0.11011011,26.0990991,21.51348999,94.49414885
0.12012012,26.10810811,21.50123453,94.49267147
0.13013013,26.11711712,21.48897908,94.49119409
0.14014014,26.12612613,21.47672362,94.48971672
0.15015015,26.13513514,21.46446817,94.48823934
0.16016016,26.14414414,21.45221271,94.48676196
0.17017017,26.15315315,21.43995726,94.48528458
0.18018018,26.16216216,21.4277018,94.48380721
0.19019019,26.17117117,21.41544635,94.48232983
0.2002002,26.18018018,21.40319089,94.48085245
0.21021021,26.18918919,21.39093544,94.47937508
0.22022022,26.1981982,21.37867998,94.4778977
0.23023023,26.20720721,21.36642452,94.47642032
0.24024024,26.21621622,21.35416907,94.47494294
0.25025025,26.22522523,21.34191361,94.47346557
0.26026026,26.23423423,21.32965816,94.47198819
0.27027027,26.24324324,21.3174027,94.47051081
0.28028028,26.25225225,21.30514725,94.46903343
0.29029029,26.26126126,21.29289179,94.46755606
0.3003003,26.27027027,21.28063634,94.46607868
0.31031031,26.27927928,21.26838088,94.4646013
0.32032032,26.28828829,21.25612543,94.46312392
0.33033033,26.2972973,21.24386997,94.46164655
0.34034034,26.30630631,21.23161451,94.46016917
0.35035035,26.31531532,21.21935906,94.45869179
0.36036036,26.32432432,21.2071036,94.45721441
0.37037037,26.33333333,21.19484815,94.45573704
0.38038038,26.34234234,21.18259269,94.45425966
0.39039039,26.35135135,21.17033724,94.45278228
0.4004004,26.36036036,21.15808178,94.4513049
0.41041041,26.36936937,21.14582633,94.44982753
0.42042042,26.37837838,21.13357087,94.44835015
0.43043043,26.38738739,21.12131542,94.44687277
0.44044044,26.3963964,21.10905996,94.4453954
0.45045045,26.40540541,21.0968045,94.44391802
0.46046046,26.41441441,21.08454905,94.44244064
0.47047047,26.42342342,21.07229359,94.44096326
0.48048048,26.43243243,21.06003814,94.43948589
